period,gclock,sclock,x,y,made,three,dist
2,306.16,13.56,85.73,24.04,1,0,3.168
2,204.36,6.8,88.67,21.85,0,0,3.151
2,91.839,14.8,66.166,31.852,0,0,23.6
2,37.099,20.64,88.2,24.12,0,0,1.037
3,450.679,23.36,14.12,28.34,0,0,9.478
3,411.92,8.68,30.67,34.3,1,1,27.067
3,361.359,15.8,28.08,36.24,1,1,25.446
3,274.88,19,11.51,27.03,0,0,6.58
3,252.88,10.88,28.41,16,0,1,24.847
3,112.08,16.4,1.95,48.08,1,1,23.314
3,72.76,12.16,27.35,9.63,0,1,26.919
3,58.4,14.92,5.88,26.45,1,0,1.58
3,45.479,21.12,21.57,43.79,1,1,24.887
4,292.64,12.24,8.57,19.4,1,0,6.51
1,628.96,18.4,5.29,27.14,1,0,2.14
1,593.239,14.56,30.67,23.76,1,1,25.45
1,380,13.2,30.35,39.64,0,1,29.057
1,331.239,16.84,8.44,24.27,1,0,3.272
2,373.2,15.8,27.88,11.85,1,1,26.173
2,265.799,14.88,10.03,2.12,1,1,23.373
2,216.16,18.36,13.56,2.73,0,1,23.769
2,158.759,8.84,5.17,48.88,1,1,23.88
2,130.639,19.24,18.79,46.02,1,1,25.003
3,685.479,10,73.8,33.7,1,0,17.297
3,630.359,13.4,63.79,29.65,1,1,25.389
3,553.679,15.88,76.6,46.33,1,1,24.547
3,387.04,11.96,88.29,28.02,0,0,3.054
3,317.119,12,86.2,47.53,1,1,22.673
3,249.919,8.24,91.51,0.46,1,1,24.694
3,227.32,18.96,64.23,34.5,0,1,26.296
4,171.839,9.92,64.4,31.99,1,1,25.333
1,525,13.44,87.26,1.98,0,1,23.068
1,499.559,13.64,58.5,31.5,1,1,30.94
1,473.119,21.28,71.31,4.7,0,1,26.762
1,310.92,13.08,67.93,22.36,1,0,20.986
1,193.479,15.48,86.14,17.83,1,0,7.63
1,175.16,17.24,62.36,22.5,1,1,26.508
1,101.959,8.72,89.75,26.67,0,0,1.946
1,48.759,17.52,86.2,19.96,0,0,5.648
1,4.659,0,75.35,3.27,1,1,25.529
2,215.32,10.48,90.35,22.6,1,0,2.884
2,42.22,19.28,65.5,16.5,1,1,24.755
2,21.399,14.04,82.99,2.33,0,1,23.39
3,655.719,18.12,21.03,45.91,0,1,26.196
3,405.48,14.52,2.68,26.05,0,0,2.776
3,289.799,20.4,28.5,37.5,1,1,26.397
3,209.279,13.84,29.5,15.36,0,1,26.095
4,427.279,8.44,1.75,48.33,0,1,23.591
4,200.08,21.68,10.4,26.28,1,0,5.306
4,168.36,9.6,5.13,22.82,1,0,2.183
4,65.319,5.44,24.16,45.87,0,1,28.162
4,4.519,0,31.74,26.39,1,1,26.526
1,663.2,17.08,87.01,47.01,0,1,22.078
1,532.679,8.56,78.77,3.43,1,1,23.766
1,414.72,13.52,71.244,9.172,0,0,23.6
1,356.799,14.36,88.3,23.59,1,0,1.48
1,113.559,18.12,71.58,36.83,1,0,20.85
1,35.72,18.2,63.76,21.68,0,1,25.209
2,319.72,17.44,64.5,17.5,1,1,25.383
2,284.239,15.88,75.39,46.22,0,1,25.075
2,159.72,17.64,84.99,23.59,0,0,4.015
3,666.799,8.76,5.45,28.64,1,0,3.645
3,410.079,4.88,2.53,2.29,0,1,22.872
3,391.959,18.08,5.38,21.85,1,0,3.152
3,196.919,19.6,11.7,21.88,0,0,7.164
3,175.16,11.32,18.55,4.82,0,1,24.168
3,123.12,8.76,5.41,27.47,1,0,2.475
3,4.3,0,24.07,8.32,1,1,25.147
4,300.48,8.2,30.28,12.36,0,1,28.04
4,162.6,9.44,28.52,13.48,1,1,25.965
4,145.559,20.96,22.1,44.18,0,1,25.53
4,108.16,3.16,7.74,27.15,0,0,3.289
4,43.04,7.96,6.25,26.13,1,0,1.508
1,486.64,15.68,85.92,27.35,0,0,3.678
1,446.48,15.2,91.37,2.21,0,1,22.94
1,417.239,13.16,72.02,4.16,1,1,26.724
1,341.679,20.52,60.93,27.5,1,1,27.932
1,308.279,9.56,90.2,1.97,0,1,23.075
1,259.359,20.96,62.5,27.36,1,1,26.355
1,218.759,21.64,66.62,3.47,0,1,30.875
1,214.679,23.24,85.41,1.65,1,1,23.587
1,1.84,0,63.5,31.5,0,1,26.073
2,303.72,23.84,73.5,24.5,0,0,15.258
2,279.76,14.56,89.32,26.59,1,0,1.689
2,205.88,16.56,63.5,16.5,0,1,26.642
2,135.919,6.8,62.5,19.79,1,1,26.762
2,92.239,12.32,63.5,18.79,0,1,26.002
2,40.759,16.08,90.16,20.75,0,0,4.477
2,33.88,20.92,85.98,24.03,1,0,2.934
2,6.119,0,88.54,23.1,1,0,1.911
3,530.28,21.36,27.5,35.5,1,1,24.603
3,446.279,9.84,21.21,26.21,0,0,16.005
3,349.239,18.4,30.1,33.41,0,1,26.234
3,303.16,13.64,18.16,47.82,1,1,26.218
3,257.44,19.76,31.07,34.5,1,1,27.512
3,187.679,18.84,35.5,19.5,0,1,30.745
3,80.279,9.8,29.51,25.42,0,1,24.263
3,68.519,20.2,7.76,22.89,0,0,3.279
3,31.02,18.84,28.83,44.8,0,1,30.79
1,495.839,14.4,28.27,34.63,0,1,24.953
1,441.04,15.96,24.5,8.5,1,1,25.353
1,378.079,9.44,3.47,47.82,0,1,22.889
1,344.44,8.56,26.5,36.5,0,1,24.162
1,310.88,12.6,6.1,29.55,0,0,4.628
1,165.16,8.88,7.9,25.28,0,0,2.664
1,84.319,13.28,6.05,20.51,1,0,4.56
1,38.24,20.96,3.96,25.85,0,0,1.544
2,212.32,14.36,9.47,1.78,1,1,23.6
2,83.919,14.36,4.34,24.25,1,0,1.179
